Date,Price
01-2019-01,335
01-2019-01,320
01-2019-01,312
01-2019-01,308
02-2019-01,307
02-2019-01,302
02-2019-01,330
02-2019-01,316
02-2019-01,304
02-2019-01,317
03-2019-01,300
03-2019-01,300
03-2019-01,312
03-2019-01,320
03-2019-01,289
04-2019-01,308
04-2019-01,314
04-2019-01,320
04-2019-01,324
04-2019-01,317
04-2019-01,317
05-2019-01,318
05-2019-01,325
05-2019-01,332
05-2019-01,299
05-2019-01,312
05-2019-01,322
06-2019-01,300
06-2019-01,300
06-2019-01,309
06-2019-01,339
06-2019-01,305
07-2019-01,305
07-2019-01,330
07-2019-01,301
07-2019-01,319
07-2019-01,313
07-2019-01,300
08-2019-01,325
08-2019-01,315
08-2019-01,315
08-2019-01,300
08-2019-01,323
09-2019-01,316
09-2019-01,316
09-2019-01,317
09-2019-01,312
09-2019-01,308
09-2019-01,299
10-2019-01,327
10-2019-01,313
10-2019-01,306
10-2019-01,300
10-2019-01,297
11-2019-01,320
11-2019-01,320
11-2019-01,293
11-2019-01,319
11-2019-01,317
11-2019-01,306
12-2019-01,308
12-2019-01,308
12-2019-01,298
12-2019-01,307
12-2019-01,307
13-2019-01,315
13-2019-01,315
13-2019-01,290
13-2019-01,299
13-2019-01,306
13-2019-01,305
14-2019-01,315
14-2019-01,305
14-2019-01,291
14-2019-01,302
14-2019-01,310
14-2019-01,282
15-2019-01,282
15-2019-01,307
15-2019-01,329
15-2019-01,295
15-2019-01,316
16-2019-01,307
16-2019-01,307
16-2019-01,300
16-2019-01,307
16-2019-01,310
16-2019-01,302
17-2019-01,302
17-2019-01,306
17-2019-01,306
17-2019-01,283
17-2019-01,301
18-2019-01,315
18-2019-01,315
18-2019-01,300
18-2019-01,300
18-2019-01,300
18-2019-01,300
19-2019-01,300
