Date,Price
01-2019-01,1660
01-2019-01,1450
01-2019-01,1450
01-2019-01,1450
02-2019-01,1450
02-2019-01,1450
02-2019-01,1450
02-2019-01,1450
02-2019-01,1450
02-2019-01,1450
03-2019-01,1450
03-2019-01,1450
03-2019-01,1450
03-2019-01,1450
03-2019-01,1450
04-2019-01,1485
04-2019-01,1485
04-2019-01,1485
04-2019-01,1485
04-2019-01,1485
04-2019-01,1488
05-2019-01,1488
05-2019-01,1488
05-2019-01,1488
05-2019-01,1488
05-2019-01,1488
05-2019-01,1488
06-2019-01,1488
06-2019-01,1488
06-2019-01,1488
06-2019-01,1488
06-2019-01,1488
07-2019-01,1488
07-2019-01,1488
07-2019-01,1450
07-2019-01,1450
07-2019-01,1450
07-2019-01,1450
08-2019-01,1450
08-2019-01,1450
08-2019-01,1450
08-2019-01,1450
08-2019-01,1450
09-2019-01,1450
09-2019-01,1450
09-2019-01,1450
09-2019-01,1450
09-2019-01,1450
09-2019-01,1450
10-2019-01,1450
10-2019-01,1450
10-2019-01,1450
10-2019-01,1450
10-2019-01,1450
11-2019-01,1450
11-2019-01,1450
11-2019-01,1450
11-2019-01,1685
11-2019-01,1685
11-2019-01,1494
12-2019-01,1494
12-2019-01,1494
12-2019-01,1494
12-2019-01,1494
12-2019-01,1494
13-2019-01,1685
13-2019-01,1685
13-2019-01,1685
13-2019-01,1425
13-2019-01,1425
13-2019-01,1425
14-2019-01,1425
14-2019-01,1425
14-2019-01,1425
14-2019-01,1425
14-2019-01,1425
14-2019-01,1583
15-2019-01,1583
15-2019-01,1495
15-2019-01,1495
15-2019-01,1495
15-2019-01,1495
16-2019-01,1495
16-2019-01,1495
16-2019-01,1495
16-2019-01,1495
16-2019-01,1495
16-2019-01,1495
17-2019-01,1495
17-2019-01,1305
17-2019-01,1305
17-2019-01,1305
17-2019-01,1305
18-2019-01,1305
18-2019-01,1305
18-2019-01,1305
18-2019-01,1305
18-2019-01,1305
18-2019-01,1305
19-2019-01,1305
