Date,Price
01-2019-01,0
01-2019-01,245
01-2019-01,261
01-2019-01,230
02-2019-01,230
02-2019-01,230
02-2019-01,230
02-2019-01,230
02-2019-01,230
02-2019-01,210
03-2019-01,210
03-2019-01,245
03-2019-01,245
03-2019-01,225
03-2019-01,225
04-2019-01,225
04-2019-01,225
04-2019-01,225
04-2019-01,225
04-2019-01,259
04-2019-01,260
05-2019-01,141
05-2019-01,222
05-2019-01,222
05-2019-01,217
05-2019-01,217
05-2019-01,217
06-2019-01,260
06-2019-01,260
06-2019-01,286
06-2019-01,226
06-2019-01,245
07-2019-01,245
07-2019-01,245
07-2019-01,245
07-2019-01,254
07-2019-01,229
07-2019-01,229
08-2019-01,229
08-2019-01,229
08-2019-01,229
08-2019-01,229
08-2019-01,221
09-2019-01,221
09-2019-01,221
09-2019-01,221
09-2019-01,221
09-2019-01,297
09-2019-01,297
10-2019-01,297
10-2019-01,297
10-2019-01,220
10-2019-01,265
10-2019-01,265
11-2019-01,265
11-2019-01,265
11-2019-01,265
11-2019-01,265
11-2019-01,240
11-2019-01,240
12-2019-01,220
12-2019-01,220
12-2019-01,295
12-2019-01,220
12-2019-01,333
13-2019-01,218
13-2019-01,218
13-2019-01,218
13-2019-01,230
13-2019-01,230
13-2019-01,230
14-2019-01,230
14-2019-01,230
14-2019-01,230
14-2019-01,234
14-2019-01,234
14-2019-01,234
15-2019-01,234
15-2019-01,234
15-2019-01,265
15-2019-01,265
15-2019-01,265
16-2019-01,220
16-2019-01,220
16-2019-01,220
16-2019-01,220
16-2019-01,220
16-2019-01,220
17-2019-01,270
17-2019-01,270
17-2019-01,270
17-2019-01,270
17-2019-01,270
18-2019-01,270
18-2019-01,270
18-2019-01,270
18-2019-01,285
18-2019-01,141
18-2019-01,141
19-2019-01,141
